Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1.72437E+12,23-08-24,1INCHBTC,4.41e-06,4.48e-06,4.37e-06,4.4e-06,120600.4,0.53384853,368
1.72428E+12,22-08-24,1INCHBTC,4.33e-06,4.43e-06,4.33e-06,4.4e-06,49128.4,0.21573078,215
1.7242E+12,21-08-24,1INCHBTC,4.42e-06,4.47e-06,4.33e-06,4.34e-06,84415,0.37099499,326
1.72411E+12,20-08-24,1INCHBTC,4.23e-06,4.45e-06,4.2e-06,4.42e-06,333715.2,1.44741982,1837
1.72403E+12,19-08-24,1INCHBTC,4.13e-06,4.29e-06,4.1e-06,4.23e-06,199533,0.83127366,3184
1.72394E+12,18-08-24,1INCHBTC,4.1e-06,4.17e-06,4.03e-06,4.13e-06,243191.8,1.00164375,416
1.72385E+12,17-08-24,1INCHBTC,4.11e-06,4.14e-06,4.05e-06,4.09e-06,45571,0.18666269,186
1.72377E+12,16-08-24,1INCHBTC,4.29e-06,4.34e-06,4.05e-06,4.12e-06,53899.1,0.22498722,269
1.72368E+12,15-08-24,1INCHBTC,4.39e-06,4.42e-06,4.19e-06,4.28e-06,126207.9,0.54183783,1250
1.72359E+12,14-08-24,1INCHBTC,4.4e-06,4.49e-06,4.35e-06,4.38e-06,93417.4,0.41114781,1161
1.72351E+12,13-08-24,1INCHBTC,4.39e-06,4.42e-06,4.25e-06,4.4e-06,105975.8,0.4572383,465
1.72342E+12,12-08-24,1INCHBTC,4.33e-06,4.48e-06,4.33e-06,4.4e-06,95460.5,0.42157974,485
1.72333E+12,11-08-24,1INCHBTC,4.53e-06,4.54e-06,4.3e-06,4.35e-06,67308.7,0.29820544,395
1.72325E+12,10-08-24,1INCHBTC,4.51e-06,4.56e-06,4.46e-06,4.54e-06,42623.4,0.19255692,223
1.72316E+12,09-08-24,1INCHBTC,4.49e-06,4.58e-06,4.46e-06,4.53e-06,72980.5,0.32885173,261
1.72308E+12,08-08-24,1INCHBTC,4.53e-06,4.58e-06,4.45e-06,4.5e-06,79743.8,0.35901065,397
1.72299E+12,07-08-24,1INCHBTC,4.65e-06,4.72e-06,4.53e-06,4.54e-06,85452.6,0.39408446,512
1.7229E+12,06-08-24,1INCHBTC,4.69e-06,4.81e-06,4.64e-06,4.66e-06,70467.3,0.33216424,455
1.72282E+12,05-08-24,1INCHBTC,4.88e-06,6.35e-06,4.4e-06,4.68e-06,619421.5,2.93266572,2275
1.72273E+12,04-08-24,1INCHBTC,4.95e-06,4.95e-06,4.76e-06,4.89e-06,96840.4,0.47120122,420
1.72264E+12,03-08-24,1INCHBTC,5.17e-06,5.21e-06,4.81e-06,4.94e-06,95944.8,0.48335915,491
