Metric,SPY,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,69.0%,17.0%
,,
Total Return,75%,7%
CAGR% (Annual Return),16.55%,1.95%
,,
Sharpe,0.71,-0.34
RoMaD,0.68,0.21
Corr to Benchmark,1.0,0.3
Prob. Sharpe Ratio,60.7%,19.69%
Smart Sharpe,0.7,-0.33
Sortino,1.01,-0.46
Smart Sortino,0.99,-0.45
Sortino/√2,0.72,-0.33
Smart Sortino/√2,0.7,-0.32
Omega,0.89,0.89
,,
Max Drawdown,-24.49%,-9.13%
Longest DD Days,708,501
Volatility (ann.),17.91%,5.93%
R^2,0.09,0.09
Information Ratio,-0.05,-0.05
Calmar,0.68,0.21
Skew,-0.35,-0.26
Kurtosis,4.14,28.92
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.26%,0.16%
Expected Yearly%,15.09%,1.79%
Daily Value-at-Risk,-1.5%,-0.5%
Expected Shortfall (cVaR),-1.5%,-0.5%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,-1.04%
5Y (ann.),16.55%,1.95%
10Y (ann.),16.55%,1.95%
All-time (ann.),16.55%,1.95%
,,
Best Day,5.5%,3.09%
Worst Day,-5.76%,-2.24%
Best Month,10.88%,7.99%
Worst Month,-9.24%,-5.07%
Best Year,31.94%,10.33%
Worst Year,-18.51%,-4.38%
,,
Avg. Drawdown,-1.71%,-1.36%
Avg. Drawdown Days,19,32
Recovery Factor,2.54,0.85
Ulcer Index,0.1,0.06
Serenity Index,0.32,0.02
,,
Avg. Up Month,4.88%,2.48%
Avg. Down Month,-4.81%,-3.0%
Win Days,724.2,772.47
Loss Days,616.8,568.53
Win Days%,54.0%,57.6%
Win Month%,66.67%,60.0%
Win Quarter%,73.33%,60.0%
Win Year%,75.0%,66.67%
,,
Beta,-,0.1
Alpha,-,0.0
Correlation,-,30.0%
Treynor Ratio,-,31.63%
